time_days,energy_erg,log10_energy,log10_F_NUV,EF_NUV_peak,flare_class,dO3,dCH4,dN2O,dNO2,dHNO3,dOH
0.5816193103294355,1.4860093435769389e+31,31.172021540145384,5.187746352965731,275.8357653402257,moderate,-0.010252956235588773,-0.0007816195294485966,0.00039387317648286553,0.01563239058897193,0.01037943435338316,0.15632390588971934
1.7942537775749776,5.223252671204536e+30,30.71794103503777,4.733665847858122,56.472836827882254,micro,-0.006668329239290609,-0.00042009975435743655,0.00024673316957162433,0.008135660935006853,0.005668329239290609,0.08135660935006853
2.434608930867213,1.1469014314324687e+30,30.059526094776214,4.075250907596561,25.861362661063268,micro,-0.0033762545379828054,-0.00022257527227896834,0.00011505018151931221,0.0035267563531759276,0.0023762545379828054,0.03526756353175927
4.605916593436215,1.5489041104650518e+32,32.19002453229444,6.205749345114782,4483.802168507622,large,-0.026172480353443463,-0.0030287467255739105,0.0008411498690229565,0.06263242796262602,0.03631621398131302,0.6263242796262602
7.113781001275698,7.236518472785853e+30,30.859529675076026,4.875254487896374,631.2030900976828,micro,-0.00737627243948187,-0.0004625763463689122,0.0002750508975792748,0.009126781415274617,0.00637627243948187,0.09126781415274618
9.0478758093419,8.421099029885569e+30,30.92536877457177,4.941093587392115,459.94092684693913,micro,-0.007705467936960575,-0.0004823280762176345,0.00028821871747842294,0.009587655111744805,0.006705467936960575,0.09587655111744804
11.040446205135474,1.2092112444066224e+30,30.08250217701144,4.098226989831787,44.91872380306404,micro,-0.0034911349491589336,-0.00022946809694953602,0.00011964539796635733,0.003687588928822507,0.0024911349491589336,0.036875889288225064
11.043962852084938,2.2906484334091107e+30,30.35995843919084,4.375683252011186,348.21172951819716,micro,-0.004878416260055928,-0.0003127049756033557,0.00017513665040223714,0.0056297827640783005,0.0038784162600559286,0.056297827640783
12.032656114340304,1.899708014520606e+30,30.278686854938524,4.2944116677588715,219.02474354252266,micro,-0.004472058338794358,-0.00028832350032766146,0.0001588823335517743,0.005060881674312101,0.0034720583387943577,0.05060881674312101
12.740470543654542,3.6343646517342295e+31,31.56042849982698,5.576153312647326,1162.622652297645,moderate,-0.014913839751767917,-0.0013642299689709896,0.0005880766563236632,0.027284599379419794,0.017370759627651878,0.27284599379419794
13.19086067270861,4.172480378451884e+30,30.62039430303849,4.636119115858843,163.80391129386288,micro,-0.006180595579294216,-0.000390835734757653,0.00022722382317176863,0.007452833811011903,0.005180595579294216,0.07452833811011902
15.792747995533558,1.0904859956245654e+31,31.037620092599703,5.053344905420049,172.5777824260238,moderate,-0.008640138865040592,-0.0005800173581300738,0.0003266724527100246,0.011600347162601476,0.007960208297560886,0.11600347162601476
16.952189152742807,2.2510495781478396e+30,30.35238506020661,4.368109873026962,35.40134563445844,micro,-0.004840549365134812,-0.0003104329619080887,0.00017362197460539245,0.005576769111188736,0.0038405493651348117,0.05576769111188736
18.48121938336192,1.4292478214035155e+30,30.15510753889355,4.170832351713898,232.8091256131578,micro,-0.0038541617585694894,-0.0002512497055141694,0.00013416647034277958,0.004195826461997286,0.0028541617585694894,0.04195826461997285
22.22932746973773,3.0633579164701696e+30,30.48619774184964,4.501922554669986,138.21958326749544,micro,-0.00550961277334993,-0.0003505767664009958,0.00020038451093399716,0.0065134578826899015,0.00450961277334993,0.06513457882689902
23.193906863568007,1.0956898119954824e+30,30.03968762348647,4.055412436306817,34.209113914873825,micro,-0.0032770621815340845,-0.0002166237308920451,0.00011108248726136338,0.0033878870541477184,0.0022770621815340845,0.03387887054147718
23.819455042682247,1.13296812502661e+31,31.054217691575857,5.069942504396204,196.9520535857124,moderate,-0.00883931005275445,-0.0006049137565943062,0.000334971252198102,0.012098275131886122,0.008258965079131673,0.12098275131886124
24.012057746946365,3.982881132071019e+30,30.60019734521024,4.615922158030587,221.94588317469075,micro,-0.006079610790152935,-0.00038477664740917616,0.0002231844316061174,0.00731145510621411,0.005079610790152936,0.0731145510621411
30.10067686162212,7.11115549815841e+30,30.85194017537122,4.8676649881915655,95.69903971097632,micro,-0.0073383249409578275,-0.0004602994964574697,0.0002735329976383131,0.009073654917340957,0.0063383249409578275,0.09073654917340959
32.10456205376557,1.8337422808251537e+30,30.26333829868387,4.279063111504218,249.0578105272217,micro,-0.00439531555752109,-0.00028371893345126547,0.00015581262230084363,0.0049534417805295276,0.003395315557521091,0.04953441780529527
32.27376285424626,1.2229544847559236e+32,32.08741029400507,6.103135106825415,2656.088974796151,large,-0.023094053204762457,-0.002515675534127076,0.0008206270213650831,0.05134486175079567,0.030672430875397835,0.5134486175079567
34.50067374935663,2.177280970006005e+31,31.337914476744125,5.353639289564472,855.4643395456571,moderate,-0.012243671474773666,-0.0010304589343467082,0.0004768196447822361,0.020609178686934168,0.0133655072121605,0.20609178686934168
35.24634577034843,8.022378387956718e+30,30.90430314230358,4.920027955123926,232.265157903684,micro,-0.00760013977561963,-0.0004760083865371778,0.00028400559102478515,0.009440195685867481,0.00660013977561963,0.09440195685867482
36.25434626752886,1.349745661183362e+30,30.13025194008686,4.145976752907208,128.87712111077965,micro,-0.0037298837645360393,-0.00024379302587216234,0.00012919535058144156,0.004021837270350454,0.0027298837645360393,0.04021837270350455
36.488301189859605,2.3882769302995185e+30,30.378084683566136,4.393809496386486,164.64005947581586,micro,-0.004969047481932429,-0.0003181428489159458,0.00017876189927729715,0.0057566664747054005,0.003969047481932429,0.057566664747054005
37.21660028530747,1.0640401540248708e+30,30.02695801737856,4.042682830198906,117.43054872889518,micro,-0.003213414150994531,-0.00021280484905967186,0.00010853656603978124,0.0032987798113923435,0.002213414150994531,0.03298779811392343
39.58253723316572,1.2613686471486724e+30,30.100842031874084,4.116566844694433,24.010711364150126,micro,-0.003582834223472166,-0.00023497005340832999,0.00012331336893888666,0.003815967912861033,0.002582834223472166,0.038159679128610326
43.73277265198167,4.900612481500064e+30,30.69025036180664,4.705975174626984,164.5455668279359,micro,-0.006529875873134918,-0.00041179255238809514,0.0002411950349253967,0.007941826222388884,0.005529875873134918,0.07941826222388886
44.00554003496099,6.605073888262662e+30,30.81987768025263,4.835602493072978,53.712541239092474,micro,-0.007178012465364889,-0.0004506807479218933,0.00026712049861459555,0.008849217451510846,0.006178012465364889,0.08849217451510845
44.17736569888767,1.069585933539008e+32,32.029215682748166,6.044940495568517,1328.355244683026,large,-0.02134821486705552,-0.0022247024778425865,0.0008089880991137035,0.0449434545125369,0.027471727256268452,0.44943454512536907
44.65365241201392,1.7265669431493535e+30,30.2371834216526,4.2529082344729465,68.05590974252723,micro,-0.004264541172364733,-0.00027587247034188396,0.0001505816468945893,0.0047703576413106255,0.003264541172364733,0.047703576413106255
44.93055448027861,1.8982951116311997e+30,30.27836372937161,4.294088542191957,38.48238792304539,micro,-0.004470442710959783,-0.000288226562657587,0.00015881770843839132,0.005058619795343696,0.003470442710959783,0.05058619795343696
49.792324856392185,2.4059497875902647e+30,30.381286559329663,4.397011372150015,37.85602511283155,micro,-0.0049850568607500735,-0.0003191034116450045,0.00017940227443000297,0.005779079605050103,0.003985056860750074,0.05779079605050104
50.14274728004668,1.337841016145542e+30,30.12640450662081,4.142129319441159,116.89158849051991,micro,-0.0037106465972057932,-0.0002426387958323476,0.00012842586388823172,0.00399490523608811,0.002710646597205793,0.0399490523608811
52.29140466342471,1.21269356821863e+30,30.083751074201853,4.099475887022201,32.46420076742233,micro,-0.003497379435111003,-0.00022984276610666017,0.00011989517740444011,0.003696331209155404,0.002497379435111003,0.03696331209155404
52.48076968586361,2.4450676325249876e+30,30.388290876558276,4.404015689378622,335.7909778465342,micro,-0.00502007844689311,-0.0003212047068135866,0.0001808031378757244,0.005828109825650353,0.00402007844689311,0.058281098256503544
52.52321767077054,1.4284045339718274e+30,30.15485122003924,4.1705760328595884,119.72712882324815,micro,-0.0038528801642979424,-0.00025117280985787653,0.0001341152065719177,0.004194032230017119,0.0028528801642979424,0.04194032230017119
52.80383398144726,4.631691209813417e+30,30.665739597708946,4.681464410529289,130.00285118410554,micro,-0.0064073220526464445,-0.00040443932315878666,0.00023629288210585774,0.007770250873705022,0.0054073220526464445,0.07770250873705023
55.00930963114115,2.2164732468607883e+30,30.34566249367241,4.361387306492762,159.92372093504204,micro,-0.004806936532463812,-0.0003084161919478287,0.00017227746129855247,0.005529711145449337,0.003806936532463812,0.05529711145449337
55.70806491148047,1.1800928045870187e+31,31.071916162335945,5.087640975156292,70.14778561672678,moderate,-0.009051691701875506,-0.0006314614627344382,0.00034382048757814604,0.012629229254688764,0.008577537552813258,0.12629229254688765
57.06638869711957,5.292995086379621e+30,30.72370149082497,4.7394263036453195,569.3444168619895,micro,-0.006697131518226597,-0.0004218278910935959,0.00024788526072906387,0.008175984125517236,0.005697131518226597,0.08175984125517237
60.43490973586602,1.6799581300606995e+30,30.225298457850748,4.241023270671095,103.14588666684652,micro,-0.004205116353355473,-0.0002723069812013284,0.00014820465413421894,0.004687162894697662,0.0032051163533554734,0.04687162894697662
61.677593450735465,1.1760588910559074e+31,31.07042906954645,5.086153882366797,669.2301452197157,moderate,-0.009033846588401563,-0.0006292308235501953,0.0003430769411833984,0.012584616471003906,0.008550769882602345,0.12584616471003907
61.927958519406666,9.54904019002469e+30,30.979959721204235,4.995684534024583,79.54592762085792,micro,-0.007978422670122913,-0.0004987053602073748,0.0002991369068049165,0.009969791738172078,0.006978422670122913,0.09969791738172079
62.16702582266893,1.9716812532072877e+30,30.29483670717616,4.3105615199965035,114.9310152919003,micro,-0.0045528075999825175,-0.00029316845599895106,0.0001621123039993007,0.005173930639975524,0.0035528075999825175,0.05173930639975524
64.30761038861674,1.6019041074246362e+30,30.204636514954963,4.22036132777531,102.4498055847513,micro,-0.004101806638876548,-0.0002661083983325929,0.0001440722655550619,0.004542529294427167,0.003101806638876548,0.045425292944271674
67.41884278818512,4.8888328125461296e+30,30.68920518559065,4.7049299984110045,523.4023401145638,micro,-0.006524649992055022,-0.00041147899952330137,0.00024098599968220088,0.007934509988877032,0.005524649992055023,0.07934509988877031
