wavelength_um,diff_ppm,sign
0.5,-8.270890248240903e-07,biosphere_suppressed
0.505025083542084,-8.142596925608814e-07,biosphere_suppressed
0.5101006700133779,-8.015713319764473e-07,biosphere_suppressed
0.5152272669767585,-7.890312190284021e-07,biosphere_suppressed
0.5204053870961941,-7.766348062432371e-07,biosphere_suppressed
0.5256355481880121,-7.64383003115654e-07,biosphere_suppressed
0.5309182732726798,-7.522603482357226e-07,biosphere_suppressed
0.5362540906271083,-7.402677510981448e-07,biosphere_suppressed
0.5416435338374793,-7.283861123141833e-07,biosphere_suppressed
0.5470871418526052,-7.165990609792061e-07,biosphere_suppressed
0.5525854590378239,-7.048956831567921e-07,biosphere_suppressed
0.5581390352294356,-6.932432370376773e-07,biosphere_suppressed
0.5637484257896879,-6.816217137384228e-07,biosphere_suppressed
0.5694141916623109,-6.69997461955063e-07,biosphere_suppressed
0.5751368994286137,-6.583404683624394e-07,biosphere_suppressed
0.5809171213641415,-6.466198101406917e-07,biosphere_suppressed
0.5867554354959051,-6.347891030600294e-07,biosphere_suppressed
0.5926524256601827,-6.228192432899959e-07,biosphere_suppressed
0.5986086815609051,-6.106638466008008e-07,biosphere_suppressed
0.6046247988286257,-5.982928996672854e-07,biosphere_suppressed
0.6107013790800849,-5.856645657331683e-07,biosphere_suppressed
0.6168390299783716,-5.754645826527849e-07,biosphere_suppressed
0.6230383652936904,-9.600516932550818e-07,biosphere_suppressed
0.6293000049647389,-1.3224025678937323e-06,biosphere_suppressed
0.6356245751607024,-6.374912118189968e-07,biosphere_suppressed
0.6420127083438707,-5.175897968001664e-07,biosphere_suppressed
0.6484650433328859,-5.027404768043198e-07,biosphere_suppressed
0.6549822253666236,-4.875328158959746e-07,biosphere_suppressed
0.6615649061687184,-4.719086064142175e-07,biosphere_suppressed
0.668213744012736,-4.558769433060661e-07,biosphere_suppressed
0.6749294037880016,-4.4036460167262703e-07,biosphere_suppressed
0.6817125570660889,-9.95673872239422e-07,biosphere_suppressed
0.6885638821679786,-1.715245161904022e-06,biosphere_suppressed
0.6954840642318901,-7.484086381737143e-07,biosphere_suppressed
0.7024737952817969,-3.87021827918943e-07,biosphere_suppressed
0.7095337742966287,-4.269413693691604e-07,biosphere_suppressed
0.7166647072801701,-4.853891368838958e-07,biosphere_suppressed
0.7238673073316623,-4.698094926425256e-07,biosphere_suppressed
0.7311422947171122,-3.7525933294091374e-07,biosphere_suppressed
0.7384903969413213,-2.9659804567927495e-07,biosphere_suppressed
0.7459123488206352,-2.92692675429862e-07,biosphere_suppressed
0.7534088925564268,-1.4699426174047403e-06,biosphere_suppressed
0.7609807778093168,-2.2904469005879946e-06,biosphere_suppressed
0.7686287617741407,-1.8025648387265392e-06,biosphere_suppressed
0.776353609255668,-3.452059900155291e-07,biosphere_suppressed
0.7841560927450845,0.0,biosphere_suppressed
0.7920369924972409,-1.8330683815293014e-07,biosphere_suppressed
0.7999970966086801,-2.860970198526047e-07,biosphere_suppressed
0.8080372010964467,-5.038591552875005e-07,biosphere_suppressed
0.8161581099776894,-6.665704859187827e-07,biosphere_suppressed
0.8243606353500641,-6.571772246388718e-07,biosphere_suppressed
0.8326455974729432,-4.677503966377117e-07,biosphere_suppressed
0.8410138248494432,-2.0907009457005188e-07,biosphere_suppressed
0.8494661543092753,0.0,biosphere_suppressed
0.8580034310924293,0.0,biosphere_suppressed
0.8666265089336976,0.0,biosphere_suppressed
0.8753362501480506,0.0,biosphere_suppressed
0.8841335257168677,0.0,biosphere_suppressed
0.8930192153750367,-1.5777595763211139e-06,biosphere_suppressed
0.9019942076989285,-8.149190762196667e-07,biosphere_suppressed
0.9110594001952544,-7.95223968452774e-07,biosphere_suppressed
0.9202156993908187,-9.918476280290633e-07,biosphere_suppressed
0.929464020923171,-1.1398915376048535e-06,biosphere_suppressed
0.9388052896321716,-1.198972313432023e-06,biosphere_suppressed
0.9482404396524757,-1.1623651516856626e-06,biosphere_suppressed
0.9577704145069481,-1.0289686542819254e-06,biosphere_suppressed
0.9673961672010158,-8.258693924290128e-07,biosphere_suppressed
0.9771186603179698,-9.25192580325529e-07,biosphere_suppressed
0.9869388661152239,0.0,biosphere_suppressed
0.9968577666215412,0.0,biosphere_suppressed
1.0068763537352383,0.0,biosphere_suppressed
1.0169956293233753,0.0,biosphere_suppressed
1.0272166053219438,0.0,biosphere_suppressed
1.0375403038370612,0.0,biosphere_suppressed
1.0479677572471822,0.0,biosphere_suppressed
1.0585000083063374,0.0,biosphere_suppressed
1.0691381102484092,-2.630267772474326e-07,biosphere_suppressed
1.0798831268924576,-6.090576789574698e-07,biosphere_suppressed
1.0907361327491005,-9.35438038141001e-07,biosphere_suppressed
1.1016982131279685,-1.2125865396228619e-06,biosphere_suppressed
1.112770464246234,-1.4346142052090727e-06,biosphere_suppressed
1.1239539933382359,-1.6077619875431992e-06,biosphere_suppressed
1.135249918766203,-1.7493121049483307e-06,biosphere_suppressed
1.1466593701320915,-1.8867831386160105e-06,biosphere_suppressed
1.1581834883905457,-2.0497427613008767e-06,biosphere_suppressed
1.1698234259629954,-2.2495769371744245e-06,biosphere_suppressed
1.1815803468528974,-2.4505025066901e-06,biosphere_suppressed
1.1934554267621382,-2.5449089662288316e-06,biosphere_suppressed
1.2054498532086049,-2.332324584131129e-06,biosphere_suppressed
1.2175648256449372,0.0,biosphere_suppressed
1.229801555578475,0.0,biosphere_suppressed
1.2421612666924082,0.0,biosphere_suppressed
1.254645194968149,-4.794346750713885e-07,biosphere_suppressed
1.2672545888089275,-9.615041562938131e-07,biosphere_suppressed
1.2799907091646359,-1.087640157493297e-06,biosphere_suppressed
1.2928548296579232,-1.351971150143072e-06,biosphere_suppressed
1.305848236711559,-1.5894038369879127e-06,biosphere_suppressed
1.3189722296770763,-1.7914962882059626e-06,biosphere_suppressed
1.3322281209647084,-1.9575691112549976e-06,biosphere_suppressed
1.345617236174631,-2.094145202136133e-06,biosphere_suppressed
1.3591409142295225,-2.21853861148702e-06,biosphere_suppressed
1.3728005075084582,-2.3176344257080927e-06,biosphere_suppressed
1.3865973819821489,-2.3202828742796555e-06,biosphere_suppressed
1.4005329173495396,-2.2214044292923063e-06,biosphere_suppressed
1.41460850717578,-2.0919633243465796e-06,biosphere_suppressed
1.428825559031582,-1.9455928850220516e-06,biosphere_suppressed
1.4431854946339793,-1.7607162590138614e-06,biosphere_suppressed
1.4576897499884984,-1.5278719729394652e-06,biosphere_suppressed
1.472339775532762,-1.2451391739887185e-06,biosphere_suppressed
1.4871370362815328,-9.12647919903975e-07,biosphere_suppressed
1.5020830119732167,-5.421625246526673e-07,biosphere_suppressed
1.517179197217838,0.0,biosphere_suppressed
1.5324271016465012,0.0,biosphere_suppressed
1.547828250062356,0.0,biosphere_suppressed
1.563384182593078,0.0,biosphere_suppressed
1.579096454844884,0.0,biosphere_suppressed
1.5949666380580922,0.0,biosphere_suppressed
1.6109963192642498,0.0,biosphere_suppressed
1.6271871014448354,0.0,biosphere_suppressed
1.643540603691559,0.0,biosphere_suppressed
1.6600584613682736,-0.0012889820154668996,biosphere_suppressed
1.6767423262745118,-0.0005157767609489383,biosphere_suppressed
1.6935938668106674,-0.00017164449036499718,biosphere_suppressed
1.7106147681448367,-4.884416011918802e-05,biosphere_suppressed
1.7278067323813378,-1.2670663636527024e-05,biosphere_suppressed
1.7451714787309207,-3.9376627682941034e-06,biosphere_suppressed
1.7627107436826912,-2.3112588678486645e-06,biosphere_suppressed
1.7804262811777603,-2.178385329898447e-06,biosphere_suppressed
1.7983198627846408,-2.28206226893235e-06,biosphere_suppressed
1.8163932778764047,-2.3926031644805335e-06,biosphere_suppressed
1.8346483338096222,-2.4750606826273724e-06,biosphere_suppressed
1.8530868561050995,-2.5242788979085162e-06,biosphere_suppressed
1.8717106886304313,-2.5388253561686724e-06,biosphere_suppressed
1.8905216937843905,-2.5177487259497866e-06,biosphere_suppressed
1.909521752683168,-2.460643372614868e-06,biosphere_suppressed
1.9287127653484872,-2.369257344980724e-06,biosphere_suppressed
1.9480966508976074,-2.2551566871698014e-06,biosphere_suppressed
1.9676753477352367,-2.1772420950583182e-06,biosphere_suppressed
1.9874508137473743,-2.435321221128106e-06,biosphere_suppressed
2.007425026497101,-4.6149980335030705e-06,biosphere_suppressed
2.0275999834223377,-1.7463658878114074e-05,biosphere_suppressed
2.047977702035588,-9.14923548407387e-05,biosphere_suppressed
2.068560220125696,-0.0005352777679945575,biosphere_suppressed
2.089349595961623,-0.0033445410517742857,biosphere_suppressed
2.110347908498276,0.0,biosphere_suppressed
2.1315572575844084,0.0,biosphere_suppressed
2.152979764172603,0.0,biosphere_suppressed
2.1746175705313706,0.0,biosphere_suppressed
2.1964728404593785,0.0,biosphere_suppressed
2.218547759501832,-0.07074190451021423,biosphere_suppressed
2.2408445351690323,-0.05634385287976329,biosphere_suppressed
2.263365397157126,-0.05273657007910515,biosphere_suppressed
2.2861125975710794,-0.055005232701660134,biosphere_suppressed
2.3090884111498906,-0.05329050396994717,biosphere_suppressed
2.332295135494063,-0.04196571354259504,biosphere_suppressed
2.355735091295371,-0.02526174737522524,biosphere_suppressed
2.379410622568927,-0.011334203986734792,biosphere_suppressed
2.403324096887589,-0.0037657052098438726,biosphere_suppressed
2.427477905618717,-0.0009418007775821025,biosphere_suppressed
2.4518744641633115,-0.0001909836091726902,biosphere_suppressed
2.4765162121975575,-3.880016720358981e-05,biosphere_suppressed
2.501405613916794,-1.0958476195810363e-05,biosphere_suppressed
2.526545158281934,-5.0002254283754155e-06,biosphere_suppressed
2.551937359268363,-3.44727322953986e-06,biosphere_suppressed
2.577584756117341,-3.0559594961232506e-06,biosphere_suppressed
2.6034899135899248,-2.9957727747387253e-06,biosphere_suppressed
2.6296554222234496,-3.0186147341737524e-06,biosphere_suppressed
2.6560838985905835,-3.0526953196385875e-06,biosphere_suppressed
2.6827779855609872,-3.081167051277589e-06,biosphere_suppressed
2.709740352565603,-3.1078043321031146e-06,biosphere_suppressed
2.7369736958636,-3.1561967261950485e-06,biosphere_suppressed
2.764480738812002,-3.2949565138551407e-06,biosphere_suppressed
2.792264232138027,-3.7154986785026267e-06,biosphere_suppressed
2.8203269542141602,-4.947023626300506e-06,biosphere_suppressed
2.8486717113359954,-8.413721843680833e-06,biosphere_suppressed
2.8773013380028654,-1.767239155014977e-05,biosphere_suppressed
2.9062186972012944,-4.018034087494016e-05,biosphere_suppressed
2.9354266806913007,-8.665960103826365e-05,biosphere_suppressed
2.964928209295573,-0.0001632501389394747,biosphere_suppressed
2.9947262331915567,-0.0002646130851644557,biosphere_suppressed
3.0248237322064733,-0.00038250010220508557,biosphere_suppressed
3.055223716115305,-0.0005156478800927289,biosphere_suppressed
3.085929224941777,-0.0006682925404675188,biosphere_suppressed
3.1169433292623587,-0.0008457471421934315,biosphere_suppressed
3.1482691305133286,-0.001052276638802141,biosphere_suppressed
3.179909761300916,-0.0012904899040222517,biosphere_suppressed
3.2118683857145673,-0.001561129855872423,biosphere_suppressed
3.244148199643356,-0.0018628759225975955,biosphere_suppressed
3.2767524310955745,-0.0021921195339018595,biosphere_suppressed
3.3096843405215393,-0.0025427730461160536,biosphere_suppressed
3.342947221139635,-0.0029061905634080176,biosphere_suppressed
3.3765443992656436,-0.0032712712072680006,biosphere_suppressed
3.4104792346453747,-0.0036247956386432634,biosphere_suppressed
3.444755120790646,-0.00395201287119562,biosphere_suppressed
3.479375485318636,-0.004237423516315175,biosphere_suppressed
3.5143437902946464,-0.004465451161195233,biosphere_suppressed
3.5496635325783163,-0.004619400260708062,biosphere_suppressed
3.5853382441733066,-0.004669928747716767,biosphere_suppressed
3.621371492580506,-0.004507763896981487,biosphere_suppressed
3.6577668811547834,-0.0036943287659596535,biosphere_suppressed
3.694528049465325,-0.0017870634483188041,biosphere_suppressed
3.731658673659598,-0.00041567238895368064,biosphere_suppressed
3.769162466830961,-6.839882735221181e-05,biosphere_suppressed
3.8070431793899884,-1.1619553333730437e-05,biosphere_suppressed
3.845304599439499,-3.6356541386339813e-06,biosphere_suppressed
3.8839505531533853,-2.7749538276111707e-06,biosphere_suppressed
3.9229849051592245,-2.8795984690077603e-06,biosphere_suppressed
3.9624115589247433,-3.092470251431223e-06,biosphere_suppressed
4.002234457148177,-3.299529453215655e-06,biosphere_suppressed
4.0424575821525295,-3.487755748210475e-06,biosphere_suppressed
4.083084956283825,-3.6627689041779377e-06,biosphere_suppressed
4.12412064231333,-3.851470864901785e-06,biosphere_suppressed
4.1655687438438465,-4.144842932873871e-06,biosphere_suppressed
4.207433405720065,-4.832981176150497e-06,biosphere_suppressed
4.249718814443062,-6.803512405895162e-06,biosphere_suppressed
4.2924291985889464,-1.2666694601648487e-05,biosphere_suppressed
4.335568829231728,-2.9794058718835004e-05,biosphere_suppressed
4.379142020370417,-7.814378113835119e-05,biosphere_suppressed
4.423153129360442,-0.00020941332240909105,biosphere_suppressed
4.467606557349374,-0.0005514103877430898,biosphere_suppressed
4.512506749717061,-0.0014048364009795478,biosphere_suppressed
4.557858196520153,-0.003440410388066084,biosphere_suppressed
4.603665432941126,-0.008067173077506595,biosphere_suppressed
4.649933039741793,-0.018026942865617457,biosphere_suppressed
4.696665643721392,-0.03795568763962365,biosphere_suppressed
4.743867918179263,-0.07240939111488842,biosphere_suppressed
4.79154458338219,-0.1093127040521722,biosphere_suppressed
4.83970040703642,-0.0975235497508038,biosphere_suppressed
4.888340204764454,-0.04564647641109332,biosphere_suppressed
4.937468840586591,-0.01422970244402677,biosphere_suppressed
4.987091227407362,-0.0035209968946219306,biosphere_suppressed
5.0372123275067935,-0.0007260155571202631,biosphere_suppressed
5.087837153036666,-0.00012699610397248762,biosphere_suppressed
5.138970766521724,-2.0575314010784496e-05,biosphere_suppressed
5.190618281365921,-5.009760570828803e-06,biosphere_suppressed
5.242784862363788,-3.228531568311155e-06,biosphere_suppressed
5.29547572621689,-3.1598810892319307e-06,biosphere_suppressed
5.348696142055527,-3.261061465309467e-06,biosphere_suppressed
5.402451431965629,-3.371420461917296e-06,biosphere_suppressed
5.456746971520988,-3.477212885627523e-06,biosphere_suppressed
5.511588190320801,-3.5773200579569675e-06,biosphere_suppressed
5.566980572532653,-3.6714855013997294e-06,biosphere_suppressed
5.622929657440922,-3.759516403079033e-06,biosphere_suppressed
5.679441040000729,-3.841229954559822e-06,biosphere_suppressed
5.736520371397416,-3.916446985385846e-06,biosphere_suppressed
5.794173359611696,-3.985021066910122e-06,biosphere_suppressed
5.852405769990427,-4.046849426231347e-06,biosphere_suppressed
5.911223425823182,-4.101880222151522e-06,biosphere_suppressed
5.970632208924552,-4.150175300310366e-06,biosphere_suppressed
6.03063806022236,-4.191956577415112e-06,biosphere_suppressed
6.091246980351737,-4.227709723636508e-06,biosphere_suppressed
6.1524650302552075,-4.258353328623343e-06,biosphere_suppressed
6.214298331788772,-4.285500835976563e-06,biosphere_suppressed
6.276753068334117,-4.31190801464254e-06,biosphere_suppressed
6.3398354854169385,-4.342206011642702e-06,biosphere_suppressed
6.403551891331518,-4.384186468087137e-06,biosphere_suppressed
6.467908657771538,-4.450920641829725e-06,biosphere_suppressed
6.532912220467278,-4.564435585052706e-06,biosphere_suppressed
6.598569079829179,-4.762143362313509e-06,biosphere_suppressed
6.664885801597886,-5.108051482238807e-06,biosphere_suppressed
6.731869017500846,-5.712609890906606e-06,biosphere_suppressed
6.799525425915462,-6.768223101971671e-06,biosphere_suppressed
6.867861792538963,-8.613076715846546e-06,biosphere_suppressed
6.936884951064952,-1.1846786037494894e-05,biosphere_suppressed
7.006601803866808,-1.7540208318678197e-05,biosphere_suppressed
7.0770193226879,-2.761408904916607e-05,biosphere_suppressed
7.148144549338801,-4.5507465983973816e-05,biosphere_suppressed
7.21998459640144,-7.72893499743077e-05,biosphere_suppressed
7.292546647940396,-0.00013323140592547134,biosphere_suppressed
7.365837960221285,-0.0002289776675752364,biosphere_suppressed
7.4398658624364185,-0.00038242237496888265,biosphere_suppressed
7.514637757437701,-0.0005972049984848127,biosphere_suppressed
7.59016112247695,-0.0008309421154990559,biosphere_suppressed
7.666443509953598,-0.000992834186035907,biosphere_suppressed
7.743492548169969,-0.0010185734072365449,biosphere_suppressed
7.821315942094086,-0.0009268832345696865,biosphere_suppressed
7.899921474130201,-0.0007769080157231656,biosphere_suppressed
7.979317004897014,-0.000615685017692158,biosphere_suppressed
8.059510474013775,-0.0004677027418438229,biosphere_suppressed
8.140509900894214,-0.00034266111561009893,biosphere_suppressed
8.222323385548528,-0.00024271469465020346,biosphere_suppressed
8.30495910939335,-0.00016638263059576275,biosphere_suppressed
8.388425336069936,-0.00011048461146856425,biosphere_suppressed
8.47273041227051,-7.119638394215144e-05,biosphere_suppressed
8.557882768572938,-4.46935982836294e-05,biosphere_suppressed
8.64389092028382,-2.7543724172574002e-05,biosphere_suppressed
8.730763468289995,-1.6907208191696554e-05,biosphere_suppressed
8.81850909991866,-1.0592432772682514e-05,biosphere_suppressed
8.907136589806099,-7.010728950263001e-06,biosphere_suppressed
8.996654800775158,-5.076323759567458e-06,biosphere_suppressed
9.08707268472153,-4.087901288585272e-06,biosphere_suppressed
9.178399283508963,-3.616723006416578e-06,biosphere_suppressed
9.270643729873434,-3.4145641620852984e-06,biosphere_suppressed
9.36381524833646,-3.3452433854108676e-06,biosphere_suppressed
9.457923156127519,-3.3379710657754913e-06,biosphere_suppressed
9.552976864115825,-3.3578808142920025e-06,biosphere_suppressed
9.648985877751379,-3.388691766303964e-06,biosphere_suppressed
9.74595979801556,-3.4231943573104218e-06,biosphere_suppressed
9.8439083223812,-3.458327228145208e-06,biosphere_suppressed
9.942841245782365,-3.492841642582789e-06,biosphere_suppressed
10.042768461593834,-3.526225555106066e-06,biosphere_suppressed
10.143699962620468,-3.5582424970925786e-06,biosphere_suppressed
10.24564584209647,-3.588789695641026e-06,biosphere_suppressed
10.348616294694754,-3.617792572185863e-06,biosphere_suppressed
10.452621617546379,-3.6452183849178255e-06,biosphere_suppressed
10.557672211270308,-3.6710489439428784e-06,biosphere_suppressed
10.663778581013451,-3.6952769733034074e-06,biosphere_suppressed
10.770951337501211,-3.717904291988816e-06,biosphere_suppressed
10.87920119809854,-3.7389272620202973e-06,biosphere_suppressed
10.988538987881709,-3.758337697945535e-06,biosphere_suppressed
11.098975640720818,-3.776113771891687e-06,biosphere_suppressed
11.210522200373171,-3.7922291085124016e-06,biosphere_suppressed
11.323189821587698,-3.8066355045884848e-06,biosphere_suppressed
11.436989771220404,-3.819290213868953e-06,biosphere_suppressed
11.551933429361092,-3.830145033134613e-06,biosphere_suppressed
11.668032290471356,-3.839149030682165e-06,biosphere_suppressed
11.785297964534063,-3.846268555207644e-06,biosphere_suppressed
11.903742178214335,-3.851464498438872e-06,biosphere_suppressed
12.023376776032249,-3.854716851492412e-06,biosphere_suppressed
12.144213721547278,-3.856017428915948e-06,biosphere_suppressed
12.266265098554676,-3.855360773741268e-06,biosphere_suppressed
12.389543112293847,-3.8527577999047935e-06,biosphere_suppressed
12.514060090668908,-3.848234882752877e-06,biosphere_suppressed
12.639828485481447,-3.841832949547097e-06,biosphere_suppressed
12.766860873675764,-3.833607479464263e-06,biosphere_suppressed
12.895169958596531,-3.823622137133498e-06,biosphere_suppressed
13.024768571259173,-3.8119687815196812e-06,biosphere_suppressed
13.155669671632946,-3.798759280471131e-06,biosphere_suppressed
13.287886349936983,-3.7841073208255693e-06,biosphere_suppressed
13.421431827949283,-3.7681575122405775e-06,biosphere_suppressed
13.556319460328947,-3.751056283363141e-06,biosphere_suppressed
13.69256273595161,-3.732956429303158e-06,biosphere_suppressed
13.830175279258379,-3.714011654665228e-06,biosphere_suppressed
13.969170851618253,-3.694362021633424e-06,biosphere_suppressed
